tweet,sarcastic
"i never heard if it all might be raining snowing??? sounds perfectly fake, maybe but im okay??? what can anyone anyone verify?????????",1
<user> hold on a minute . are you saying all blonde white women look the same ? <repeated>,1
"Spiritfarer is so good, I bought it several months ago but finally started it tonight #gamer",0
This time last year 🌈💛 there may not be a parade today but the fight for equality never stops. Celebrating with a socially distanced Pride D&amp;D session! #PRIDE2020 https://t.co/pKA4QU5UDi,0
got yourself a particularly bloody screening invitation thanks for watching a massive film - yes one that one youre thinking of - and both screenings tonight are on friday school day days since [UNK] tempted to quit teaching in tbh,1
suppose i best move my arse to the <hashtag> gym </hashtag> . anything to put off wrapping presents 😕 🎁 <hashtag> christmas </hashtag> <hashtag> chore </hashtag>,0
oh we get to see the queens garden on <hashtag> itv </hashtag> after she addresses the nation . just what i always wanted 😳,1
fully dressed vaxxed … feeling very pretty girlboss,1
i wish that perfectly grilled cheese cheese helped you get that delicious summer cheese bod,1
i <hashtag> may </hashtag> or may be <hashtag> watching </hashtag> <hashtag> rockos </hashtag> <hashtag> modern </hashtag> <hashtag> life </hashtag> . <repeated> <hashtag> forever a 90 s kid </hashtag>,0
Bloody lush😍😍😍😍 https://t.co/tkU6lYhVXQ,0
"in elementary school, my parents gave me money for a book and i came home with a beta fish.",0
Sad because I’ve missed so much of Oxford the past year but happy cuz I just saw a squirrel carrying it’s baby whilst writing my essay by the river I love it https://t.co/A2AlOimCLs,0
sh <elongated> . <repeated> nobody move . <repeated> they are playing a <allcaps> non </allcaps> electronic game together . <repeated> <allcaps> nicely </allcaps> . ! <repeated> <url>,0
can you know what the one thing i really badly wish i could see? i want at a piers morgan esque interview with # lilleejean where apparently she's being forced to politely explain her shitty behaviour and see if she willingly storms off or comes up with some bs scheme to make her persona look cute and innocent. it'd be a fun watch.,1
i miss the days when all my close friends lived in the same city .,0
free chocolates and free delivery with all flower orders from bunches . <url>,0
"at & j amp ; tel t is truly amazing they think my lg g7 battery is 3g only to the point where they sent us four walmart altec phones and said they'd shut off service. we called them, they actually told us to not worry us and hopefully if the phones are going fine they wouldn't be shut off guess what got shut back off this morning? ask lol",1
"Update: almost 10 hours since the first modern vaccine.

Arm stiffness and pain has definitely worsened. I can’t hold my arm over my head and it hurts to lift my arm up to eat or do anything. Can’t move myself on the bed or do things with my left arm. 😬",0
kind of love how i got a voicemail from my seat neighbor wondering where i was yet they constantly sell their ticket and i never ask,1
obviously my day is going to go fantastically well,1
There’s nothing more empowering than a new phone case,0
woke up to my dog sneezing on my face. How’s your day going so far?,0
"@ishkolhatkar @RosieisaHolt We think you are very, very funny and very,very,very etc …brave. You nail the issue and put those that actually believe the comments you make to shame…. Please keep doing what you’re doing….",0
"My top 3 movies off the last decade in no particular order... Hereditary, It Follows and What We Do in the Shadows. Yes.",0
""" when are you experiencing any suicidal or homicidal drug ideation? "" "" perhaps only not while trying hard to talk directly to something a suicidal human when i call @ walgreens medical pharmacy """,1
"<user> holy fuck , those lyrics fit so good to the movie interstellar ! <hashtag> chills </hashtag> <hashtag> freaky friday </hashtag>",0
my favorite bad part of flying around is getting drunk to walk freely past the usual rich people to get to my typical poor person empty seat.,1
i am really excited for tomorrow because that means the assignments and responsibilities of today will be over .,0
i too do enjoy making shit fucked up and pretending just like heck i can understand your basic social economic management principles... https : / / t. co / chdbhaxbbr,1
And so it begins. The Sunday back to school preparation. 😩,0
can i just own an isle far away from here where my house is stunningly beautiful with only some closed ppl who appreciates me as a human,0
I hate how anti vaxxers have ruined everything. Trying to find information on vaccine side effects and it's plagued with morons,0
The tiktok fyp knows me better than I know myself,0
flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me,1
<user> <user> i love button pushers !,1
"New doctor: sexual preference?

Me: what are my options?",0
i did not know it ' s your territory i really . . <repeated> <allcaps> what are you doin </allcaps> no . . please do not shoot at me i . .,0
<user> yes <elongated> ! what makes it worse is when they look gorgeous and say i just got my face beat ! wtf ? <hashtag> contradiction </hashtag>,1
"my mom just called the spatula, an “egg flipper”",0
always love waking yourself up in a sudden panic [UNK],1
[UNK] i do love losing it when marrying my mum happily makes love me spend my savings on beer [UNK],1
"You guys, how cool would a British version of Breaking Bad be?

Lol jk, they have universal health care so Walter White would never have to resort to cooking meth in a trailer to be able to fund his cancer treatment.",1
abraham was actually from modern day iraq ur of the chaldea <user> <user>,0
"If you don't eat meat, or just fancy a meatless meal, I'd recommend this, it's delicious. I made it last night and as there are two of us and lots of pie we're having it again tonight. # vegetarian https://t.co/LfUE5kx8CR",0
i really really want apple pie boilo,0
"<hashtag> 13 cabs </hashtag> apparently this guy only does city airport . if not , swears and drives off . even from a taxi rank <hashtag> good guy </hashtag> <url>",1
i now have <allcaps> zero </allcaps> resect for demarcus cousins .,0
see petition to call on erections and social dickstanding,1
"it's nice to to see because some heritage organisations are simply doing the right thing thing and putting to the moral safety of their staff, visitors... and volunteers first. wonder what that's quite like...... for reasons, this is basically aimed at stopping nobody.",1
don ain ’ – t you just love it when they just dig up your road trips at midnight 8 : 30am daily on a thursday saturday [UNK],1
